epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.8452,1.62013,3.38856,1.58424,0.00429,0.80685,0.14032,0.0745,1.6081,3.19767,1.5312,0.00024293,0.00024293,0.00024293
2,107.769,1.55282,2.40723,1.51796,0.58042,0.23979,0.21106,0.09008,1.76504,2.87346,1.71726,0.000495199,0.000495199,0.000495199
3,161.248,1.55256,2.05028,1.46522,0.69827,0.14617,0.16486,0.06558,1.89171,3.50808,2.17862,0.000742374,0.000742374,0.000742374
4,214.02,1.48552,1.90387,1.4569,0.66763,0.2316,0.27879,0.13104,1.89295,3.15444,1.87034,0.000984457,0.000984457,0.000984457
5,266.835,1.49716,1.84222,1.42363,0.2227,0.2477,0.15131,0.06159,2.1261,3.18315,2.11688,0.00122145,0.00122145,0.00122145
6,319.611,1.54755,1.79622,1.46662,0.27511,0.30948,0.22191,0.09802,2.18995,3.17188,2.1376,0.00135826,0.00135826,0.00135826
7,372.51,1.53885,1.76057,1.45113,0.64224,0.29816,0.33898,0.1292,2.12323,3.03107,2.30525,0.00134412,0.00134412,0.00134412
8,425.441,1.5666,1.74721,1.46766,0.38068,0.3663,0.25963,0.10664,2.2021,3.55532,2.04668,0.00132997,0.00132997,0.00132997
9,478.214,1.53869,1.73438,1.47906,0.56497,0.31716,0.35735,0.18949,2.01085,2.54711,1.94044,0.00131582,0.00131582,0.00131582
10,531.011,1.49974,1.69395,1.40989,0.36913,0.43242,0.36257,0.18168,1.83834,3.39983,1.73046,0.00130168,0.00130168,0.00130168
11,583.442,1.51468,1.60214,1.43929,0.34995,0.37507,0.3077,0.16801,1.98104,2.46977,1.83871,0.00128753,0.00128753,0.00128753
12,635.941,1.4501,1.57322,1.4189,0.45171,0.23113,0.19812,0.08398,2.12544,2.72294,1.95535,0.00127338,0.00127338,0.00127338
13,688.66,1.44708,1.49094,1.37681,0.5698,0.50672,0.51738,0.26827,1.85668,1.75661,1.6797,0.00125923,0.00125923,0.00125923
14,740.945,1.32716,1.43866,1.35256,0.61954,0.51752,0.55026,0.22852,1.90467,1.83213,1.78193,0.00124509,0.00124509,0.00124509
15,793.652,1.36519,1.43346,1.34886,0.59826,0.51227,0.54725,0.25559,1.88203,1.89008,1.65113,0.00123094,0.00123094,0.00123094
16,846.307,1.39814,1.42741,1.36151,0.7626,0.53406,0.63522,0.33248,1.78682,1.69704,1.71684,0.00121679,0.00121679,0.00121679
17,898.846,1.33226,1.38784,1.33672,0.63897,0.44669,0.51846,0.28445,1.96927,1.98638,1.83174,0.00120265,0.00120265,0.00120265
18,951.549,1.34271,1.33094,1.32127,0.67039,0.62084,0.67824,0.35541,1.74221,1.49533,1.62748,0.0011885,0.0011885,0.0011885
19,1004.19,1.35603,1.33222,1.32956,0.72118,0.58697,0.66359,0.36444,1.62313,1.54192,1.53627,0.00117435,0.00117435,0.00117435
20,1057.16,1.31723,1.31846,1.31698,0.65652,0.62448,0.62577,0.3221,1.75496,1.91708,1.6633,0.00116021,0.00116021,0.00116021
21,1109.59,1.3267,1.25562,1.32998,0.67326,0.60671,0.67125,0.38879,1.64089,1.60719,1.52767,0.00114606,0.00114606,0.00114606
